Sample ID,HHID,Block,Village,Cvillage,Location,Date,Sample source,Csamplesource,Omit,Dilution,Coliforms_CFU,Ecoli_CFU,CFU_100mL,Log10CFU,Methoderror,,,,
131,GUH2,Ghatol,Udpura,3,3,08/11/2019,SW,2,0,1.00,300+,171,171,2.23,0,,,,
132,GUH2,Ghatol,Udpura,3,3,08/11/2019,CH,7,0,2.00,10,9,18,1.26,0,,,,
133,GUH2,Ghatol,Udpura,3,3,08/11/2019,MH,8,0,2.00,3,0,0,0.00,4,,,,
134,GUH2,Ghatol,Udpura,3,3,08/11/2019,Soil,9,0,400,100,100,40000,4.60,0,,,,
135,GUH3,Ghatol,Udpura,3,3,09/11/2019,HP,1,0,1,298,86,86,1.93,0,,,,
136,GUH3,Ghatol,Udpura,3,3,09/11/2019,SW,2,0,10,300+,42,420,2.62,0,,,,
137,GUH3,Ghatol,Udpura,3,3,09/11/2019,CH,7,0,1,300+,300+,300,2.48,3,,,,
138,GUH3,Ghatol,Udpura,3,3,09/11/2019,MH,8,0,1,300+,300+,300,2.48,3,,,,
139,GUH3,Ghatol,Udpura,3,3,09/11/2019,soil,9,0,400,56,170,68000,4.83,0,,,,
140,GUH4,Ghatol,Udpura,3,3,09/11/2019,HP,1,0,1,162,1,1,0.00,2,,,,
141,GUH4,Ghatol,Udpura,3,3,09/11/2019,SW,2,0,1,127,36,36,1.56,0,,,,
142,GUH4,Ghatol,Udpura,3,3,09/11/2019,CH,7,0,4,300+,201,804,2.91,0,,,,
143,GUH4,Ghatol,Udpura,3,3,09/11/2019,MH,8,0,1,78,175,175,2.24,0,,,,
144,GUH4,Ghatol,Udpura,3,3,09/11/2019,soil,9,0,200,163,39,7800,3.89,0,,,,
145,KBH3,Kushalgarh,Bansri,4,3,11/11/2019,HP,1,0,1,181,17,17,1.23,0,,,,
146,KBH3,Kushalgarh,Bansri,4,3,11/11/2019,SW,2,0,10,70,3,30,1.48,0,,,,
147,KBH3,Kushalgarh,Bansri,4,3,11/11/2019,CH,7,0,10,0,154,1540,3.19,0,,,,
148,KBH3,Kushalgarh,Bansri,4,3,11/11/2019,MH,8,0,1,300+,35,35,1.54,0,,,,
149,KBH3,Kushalgarh,Bansri,4,3,11/11/2019,soil,9,0,200,300+,102,20400,4.31,0,,,,
150,KBH4,Kushalgarh,Bansri,4,3,11/11/2019,HP,1,0,1,172,1,1,0.00,2,,,,
151,KBH4,Kushalgarh,Bansri,4,3,11/11/2019,SW,2,0,1,76,17,17,1.23,0,,,,
152,KBH4,Kushalgarh,Bansri,4,3,11/11/2019,CH,7,0,2,300+,143,286,2.46,0,,,,
153,KBH4,Kushalgarh,Bansri,4,3,11/11/2019,MH,8,0,2,300+,32,64,1.81,0,,,,
154,KBH4,Kushalgarh,Bansri,4,3,11/11/2019,soil,9,0,200,300+,270,54000,4.73,0,,,,
155,KBH4,Kushalgarh,Bansri,4,3,11/11/2019,Well (for dry season),5,0,100,300+,6,600,2.78,0,,,,
156,GUH5,Ghatol,Udpura,3,3,13/11/2019,HP,1,0,1,118,23,23,1.36,0,,,,
157,GUH5,Ghatol,Udpura,3,3,13/11/2019,SW,2,0,1,149,243,243,2.39,0,,,,
158,GUH5,Ghatol,Udpura,3,3,13/11/2019,CH,7,0,4,300+,210,840,2.92,0,,,,
159,GUH5,Ghatol,Udpura,3,3,13/11/2019,MH,8,0,2,73,59,118,2.07,0,,,,
160,GUH5,Ghatol,Udpura,3,3,13/11/2019,Soil,9,0,200,30,67,13400,4.13,0,,,,
161,GUH6,Ghatol,Udpura,3,3,13/11/2019,HP,1,0,1,74,1,1,0.00,2,,,,
162,GUH6,Ghatol,Udpura,3,3,13/11/2019,SW,2,0,1,300+,174,174,2.24,0,,,,
163,GUH6,Ghatol,Udpura,3,3,13/11/2019,nala,10,0,10,300+,91,9100,3.96,0,,,,
164,GUH6,Ghatol,Udpura,3,3,13/11/2019,CH,7,0,2,45,230,460,2.66,0,,,,
165,GUH6,Ghatol,Udpura,3,3,13/11/2019,MH,8,0,10,300+,300+,3000,3.48,0,,,,
166,GUH6,Ghatol,Udpura,3,3,13/11/2019,soil,9,0,200,89,10,2000,3.30,0,,,,
167,KBH5,Kushalgarh,Bansri,4,3,19/11/2019,HP,1,0,1,300+,180,180,2.26,0,,,,
168,KBH5,Kushalgarh,Bansri,4,3,19/11/2019,SW,2,0,1,300+,173,173,2.24,0,,,,
169,KBH5,Kushalgarh,Bansri,4,3,19/11/2019,CH,7,0,2,300+,187,374,2.57,0,,,,
170,KBH5,Kushalgarh,Bansri,4,3,19/11/2019,MH,8,0,2,220,89,178,2.25,0,,,,
171,KBH5,Kushalgarh,Bansri,4,3,19/11/2019,soil,9,0,1000,300+,300+,300000,5.48,0,,,,
172,KBH6,Kushalgarh,Bansri,4,3,19/11/2019,HP,1,0,1,51,11,11,1.04,0,,,,
173,KBH6,Kushalgarh,Bansri,4,3,19/11/2019,SW,2,0,10,30,12,120,2.08,0,,,,
174,KBH6,Kushalgarh,Bansri,4,3,19/11/2019,CH,7,0,10,300+,298,2980,3.47,0,,,,
175,KBH6,Kushalgarh,Bansri,4,3,19/11/2019,MH,8,0,4,300+,165,660,2.82,0,,,,
176,KBH6,Kushalgarh,Bansri,4,3,19/11/2019,soil,9,0,1000,300+,198,198000,5.30,0,,,,
177,GUH7,Ghatol,Udpura,3,3,20/11/2019,HP,1,0,1,142,52,52,1.72,0,,,,
178,GUH7,Ghatol,Udpura,3,3,20/11/2019,SW,2,0,1,0,220,220,2.34,0,,,,
179,GUH7,Ghatol,Udpura,3,3,20/11/2019,CH,7,0,2,300+,101,202,2.31,0,,,,
180,GUH7,Ghatol,Udpura,3,3,20/11/2019,MH,8,0,2,10,110,220,2.34,0,,,,
181,GUH7,Ghatol,Udpura,3,3,20/11/2019,soil,9,0,200,88,172,34400,4.54,0,,,,
182,GUH8,Ghatol,Udpura,3,3,20/11/2019,HP,1,0,1,300+,210,210,2.32,0,,,,
183,GUH8,Ghatol,Udpura,3,3,20/11/2019,SW,2,0,1,300+,58,58,1.76,0,,,,
184,GUH8,Ghatol,Udpura,3,3,20/11/2019,CH,7,0,1,0,215,215,2.33,0,,,,
185,GUH8,Ghatol,Udpura,3,3,20/11/2019,MH,8,0,1,11,193,193,2.29,0,,,,
186,GUH8,Ghatol,Udpura,3,3,20/11/2019,soil,9,0,200,300+,25,5000,3.70,0,,,,
187,KBH7,Kushalgarh,Bansri,4,3,21/11/2019,HP,1,0,1,145,0,0,0.00,0,,,,
188,KBH7,Kushalgarh,Bansri,4,3,21/11/2019,SW (boring well source),4,0,1,300+,0,0,0.00,0,,,,
189,KBH7,Kushalgarh,Bansri,4,3,21/11/2019,Boring well,6,0,10,134,0,0,0.00,1,,,,
190,KBH7,Kushalgarh,Bansri,4,3,21/11/2019,CH,7,0,2,300+,39,78,1.89,0,,,,
191,KBH7,Kushalgarh,Bansri,4,3,21/11/2019,MH,8,0,2,300+,29,58,1.76,0,,,,
192,KBH7,Kushalgarh,Bansri,4,3,21/11/2019,soil,9,0,200,0,300+,60000,4.78,3,,,,
193,KBH8,Kushalgarh,Bansri,4,3,21/11/2019,HP,1,0,1,300+,7,7,0.85,0,,,,
194,KBH8,Kushalgarh,Bansri,4,3,21/11/2019,SW,2,0,1,300+,17,17,1.23,0,,,,
195,KBH8,Kushalgarh,Bansri,4,3,21/11/2019,CH,7,0,40,300+,25,1000,3.00,0,,,,
196,KBH8,Kushalgarh,Bansri,4,3,21/11/2019,MH,8,0,4,46,249,996,3.00,0,,,,
197,GUH9,Ghatol,Udpura,3,3,22/11/2019,HP,1,0,1,10,3,3,0.48,2,,,,
198,GUH9,Ghatol,Udpura,3,3,22/11/2019,SW,2,0,1,118,200,200,2.30,0,,,,
199,GUH9,Ghatol,Udpura,3,3,22/11/2019,CH,7,0,4,300+,221,884,2.95,0,,,,
200,GUH9,Ghatol,Udpura,3,3,22/11/2019,MH,8,0,4,59,127,508,2.71,0,,,,
